id,question,final_answer,steps,tags
1,"Differentiate f(x)=x^3 + 2x^2 - 5x","f'(x)=3x^2 + 4x -5","1. Write f(x)=x^3+2x^2-5x; 2. Use power rule d(x^n)/dx = n x^{n-1}; 3. derivative of x^3 is 3x^2; 4. derivative of 2x^2 is 4x; 5. derivative of -5x is -5; 6. combine: 3x^2+4x-5","calculus,derivative"
2,"Integrate ∫(2x) dx","x^2 + C","1. Recognize integrand 2x = 2 * x; 2. Use power rule ∫ x^n dx = x^{n+1}/(n+1); 3. ∫ 2x dx = 2 * x^2/2 = x^2; 4. add constant C -> x^2 + C","calculus,integral"
3,"Solve equation 2x + 3 = 11","x = 4","1. Subtract 3 both sides: 2x = 8; 2. Divide both sides by 2: x = 4","algebra,linear"
4,"Find area of triangle with base 10 and height 6","Area = 30","1. Formula area = (1/2)*base*height; 2. plug base=10 height=6 -> 0.5*10*6 = 30","geometry,area"
5,"Simplify (x^2 * x^3)","x^5","1. Use exponent rule x^a * x^b = x^{a+b}; 2. x^2 * x^3 = x^{2+3} = x^5","algebra,exponents"
6,"Factor x^2 - 9","(x+3)(x-3)","1. Recognize difference of squares a^2-b^2=(a+b)(a-b); 2. x^2-9 = x^2-3^2; 3. Factor: (x+3)(x-3)","algebra,factoring"
7,"Solve quadratic x^2 - 5x + 6 = 0","x = 2 or x = 3","1. Factor quadratic: find two numbers that multiply to 6 and add to -5; 2. Numbers are -2 and -3; 3. (x-2)(x-3)=0; 4. Solutions: x=2 or x=3","algebra,quadratic"
8,"Find slope of line through (2,3) and (5,9)","m = 2","1. Use slope formula m=(y2-y1)/(x2-x1); 2. m=(9-3)/(5-2); 3. m=6/3=2","geometry,linear"
9,"Evaluate log₂(8)","3","1. Rewrite as 2^x = 8; 2. Recognize 8 = 2^3; 3. Therefore x = 3","algebra,logarithm"
10,"Find circumference of circle with radius 7","C = 14π or ≈43.98","1. Formula C = 2πr; 2. Substitute r=7; 3. C = 2π(7) = 14π ≈ 43.98","geometry,circle"
11,"Differentiate f(x) = sin(x)","f'(x) = cos(x)","1. Recall derivative of sin(x) is cos(x); 2. Therefore f'(x) = cos(x)","calculus,derivative,trigonometry"
12,"Solve system: x+y=5 and x-y=1","x=3, y=2","1. Add equations: 2x=6 so x=3; 2. Substitute x=3 into x+y=5; 3. 3+y=5 so y=2","algebra,system"
13,"Find distance between (1,2) and (4,6)","5","1. Use distance formula d=√[(x2-x1)²+(y2-y1)²]; 2. d=√[(4-1)²+(6-2)²]; 3. d=√[9+16]=√25=5","geometry,distance"
14,"Simplify √50","5√2","1. Factor 50 = 25 * 2; 2. √50 = √(25*2); 3. √50 = √25 * √2 = 5√2","algebra,radicals"
15,"Find volume of cube with side length 4","V = 64","1. Formula V = s³; 2. V = 4³ = 64","geometry,volume"
16,"Evaluate (3^2)^3","729","1. Use power rule (a^m)^n = a^{mn}; 2. (3^2)^3 = 3^{2*3} = 3^6; 3. 3^6 = 729","algebra,exponents"
17,"Find derivative of f(x) = e^x","f'(x) = e^x","1. Recall derivative of e^x is e^x; 2. Therefore f'(x) = e^x","calculus,derivative,exponential"
18,"Solve |x-3| = 5","x = 8 or x = -2","1. Absolute value means x-3=5 or x-3=-5; 2. Case 1: x-3=5 gives x=8; 3. Case 2: x-3=-5 gives x=-2","algebra,absolute_value"
19,"Find sum of arithmetic series 2+5+8+...+29","155","1. First term a=2 last term l=29 common difference d=3; 2. Find n: 29=2+(n-1)*3 so n=10; 3. Sum S=n(a+l)/2=10(2+29)/2=155","algebra,series"
20,"Integrate ∫cos(x) dx","sin(x) + C","1. Recall integral of cos(x) is sin(x); 2. Add constant of integration; 3. Answer: sin(x) + C","calculus,integral,trigonometry"
21,"Find midpoint between (-2,4) and (6,10)","(2,7)","1. Use midpoint formula M=((x1+x2)/2,(y1+y2)/2); 2. M=((-2+6)/2,(4+10)/2); 3. M=(4/2,14/2)=(2,7)","geometry,midpoint"
22,"Simplify (2x+3)+(4x-5)","6x - 2","1. Remove parentheses: 2x+3+4x-5; 2. Combine like terms: (2x+4x)+(3-5); 3. Result: 6x-2","algebra,simplification"
23,"Find area of circle with radius 5","A = 25π or ≈78.54","1. Formula A = πr²; 2. Substitute r=5; 3. A = π(5²) = 25π ≈ 78.54","geometry,circle,area"
24,"Solve inequality 3x - 7 > 8","x > 5","1. Add 7 to both sides: 3x > 15; 2. Divide both sides by 3: x > 5","algebra,inequality"
25,"Find nth term formula for sequence 3,7,11,15,...","aₙ = 4n - 1","1. Identify arithmetic sequence with first term a=3; 2. Common difference d=4; 3. Formula aₙ=a+(n-1)d; 4. aₙ=3+(n-1)*4=3+4n-4=4n-1","algebra,sequence"